'der Bär','der Hund','die Katze','das Pferd','bear','dog','cat','horse','Animals','N'
'der Strand','die Post','das Krankenhaus','der Bahnhof','beach','post office','hospital','railway station','Places','N'
'der Fluß', 'der See', 'die See', 'der Ozean', 'river', 'lake', 'sea', 'ocean', 'Bodies of water', 'N'
'das Brot', 'die Wurst', 'der Käse', 'das Fleisch', 'bread', 'sausage', 'cheese', 'meat', 'Foods', 'N'
'die Milch', 'das Wasser', 'der Tee', 'der Kaffee', 'milk', 'water','tea','coffee','Drinks','N'
